,loan_id,account_id,date_x,amount,duration,payments,status,district_id,frequency,date_y,amount_order,k_symbol_LEASING,k_symbol_Other,k_symbol_POJISTNE,k_symbol_SIPO,k_symbol_UVER,date_min,date_max,amount_sum,amount_mean,amount_std,balance_min,balance_max,balance_mean,balance_std,type_PRIJEM_sum,type_VYBER_sum,type_VYDAJ_sum,operation_Other_sum,operation_PREVOD NA UCET_sum,operation_PREVOD Z UCTU_sum,operation_VKLAD_sum,operation_VYBER_sum,operation_VYBER KARTOU_sum,k_symbol_Other_sum,k_symbol_POJISTNE_sum,k_symbol_SANKC. UROK_sum,k_symbol_SIPO_sum,k_symbol_SLUZBY_sum,k_symbol_UROK_sum,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,type_x,gender,birth_date,type_y,issued
77,5265,1498,1998-10-07,165780,60,2763.0,1,62,POPLATEK TYDNE,1997-02-07,2762.8,0.0,0.0,0.0,0.0,2762.8,1997-02-07,1998-09-30,1096102.0,9700.017699115044,13350.239169194085,413.0,116112.0,45342.29203539823,26937.962234244755,569733.0,69375.0,456994.0,6137.0,0.0,0.0,563596.0,526369.0,0.0,1089671.0,0.0,24.0,0.0,270.0,6137.0,145688,22,41,13,2,5,40.7,8544,1.2,1.86,109,2719.0,2906,OWNER,M,1951-07-24,No Card,
78,5269,1527,1994-11-19,164052,36,4557.0,1,31,POPLATEK PO OBRATU,1993-11-17,4557.2,0.0,0.0,0.0,0.0,4557.2,1993-11-17,1994-11-12,767602.0,11809.261538461538,13989.469667258792,-2565.0,112046.0,41752.10769230769,30609.43573787903,394207.0,92895.0,280500.0,1984.0,0.0,0.0,392223.0,373395.0,0.0,764618.0,0.0,0.0,0.0,1000.0,1984.0,51313,34,12,3,1,4,59.2,8930,3.5,4.2,108,1328.0,1452,OWNER,F,1975-09-12,No Card,
79,5270,1528,1997-07-21,191088,48,3981.0,1,50,POPLATEK MESICNE,1996-06-08,3981.0,0.0,0.0,0.0,0.0,3981.0,1996-06-08,1997-07-18,528259.0,6772.551282051282,7588.221988837797,500.0,57550.0,32688.01282051282,11262.561326057681,283324.0,0.0,244935.0,1977.0,0.0,0.0,281347.0,244935.0,0.0,448847.0,0.0,0.0,77300.0,135.0,1977.0,102609,75,33,2,3,6,52.0,8187,4.8,5.45,94,2123.0,2134,OWNER,M,1962-09-05,No Card,
80,5281,1580,1997-11-27,194256,24,8094.0,1,69,POPLATEK MESICNE,1996-01-08,8094.2,0.0,0.0,0.0,0.0,8094.2,1996-01-08,1997-11-23,1716845.0,12812.276119402984,14752.693975158862,400.0,134157.0,51370.567164179105,27095.325034006564,892291.0,59084.0,765470.0,4002.0,0.0,0.0,888289.0,824554.0,0.0,1712573.0,0.0,0.0,0.0,270.0,4002.0,42821,4,13,5,1,3,48.4,8173,,7.01,124,,1358,OWNER,M,1968-04-15,classic,1998-01-06
81,5282,1583,1996-08-24,388512,48,8094.0,1,69,POPLATEK PO OBRATU,1994-11-17,8094.2,0.0,0.0,0.0,0.0,8094.2,1994-11-17,1996-08-08,878331.0,7319.425,9421.671264849945,-2839.0,84744.0,21371.275,21196.780377036295,458515.0,66979.0,352837.0,1570.0,0.0,0.0,456945.0,419816.0,0.0,874724.0,0.0,37.0,0.0,2000.0,1570.0,42821,4,13,5,1,3,48.4,8173,,7.01,124,,1358,OWNER,F,1969-03-13,No Card,
84,5293,1656,1998-10-29,189792,48,3954.0,1,47,POPLATEK MESICNE,1997-02-01,16067.3,0.0,0.0,0.0,12113.0,3954.3,1997-02-01,1998-10-24,1054831.0,8240.8671875,9266.830131334518,500.0,78412.0,34760.2734375,14092.499991529445,546214.0,24469.0,484148.0,3279.0,193808.0,533835.0,9100.0,314809.0,0.0,857504.0,0.0,0.0,193808.0,240.0,3279.0,162580,83,26,5,1,6,72.8,9538,1.5,1.81,111,6079.0,5410,OWNER,M,1940-06-07,No Card,
85,5301,1698,1996-07-06,141948,36,3943.0,1,68,POPLATEK MESICNE,1996-03-14,13585.0,0.0,0.0,0.0,9642.0,3943.0,1996-03-14,1996-06-30,89641.0,8964.1,10820.546293972406,800.0,63263.0,32592.8,17970.96599023609,68441.0,0.0,21200.0,347.0,0.0,0.0,68094.0,21200.0,0.0,89294.0,0.0,0.0,0.0,0.0,347.0,228848,15,40,18,2,6,57.2,9893,4.0,4.72,96,5623.0,5887,OWNER,F,1950-09-26,classic,1998-12-28
86,5304,1718,1998-08-20,172272,24,7178.0,1,71,POPLATEK MESICNE,1997-09-23,21634.0,0.0,0.0,0.0,14456.0,7178.0,1997-09-23,1998-08-19,987015.0,17945.727272727272,19403.360794665088,300.0,126478.0,61146.472727272725,22317.54007655608,529789.0,0.0,457226.0,2353.0,86736.0,527136.0,300.0,370490.0,0.0,897836.0,0.0,0.0,86736.0,90.0,2353.0,161227,5,35,11,4,10,69.7,8678,5.9,5.57,102,4980.0,4595,OWNER,M,1943-03-12,No Card,
87,5310,1762,1995-04-28,248148,36,6893.0,0,28,POPLATEK MESICNE,1993-12-11,13070.0,0.0,3352.0,1972.0,853.0,6893.0,1993-12-11,1995-04-20,654408.0,5453.4,7163.235798098489,600.0,67486.0,36063.85833333333,10761.57562523932,347756.0,0.0,306652.0,2520.0,67947.0,0.0,345236.0,238705.0,0.0,620648.0,21692.0,0.0,9383.0,165.0,2520.0,72541,66,26,10,0,8,36.9,8594,1.6,2.01,112,1580.0,1525,OWNER,F,1940-07-24,No Card,
89,5312,1772,1996-03-13,202788,36,5633.0,1,31,POPLATEK TYDNE,1995-02-20,17627.0,0.0,0.0,0.0,11994.0,5633.0,1995-02-20,1996-03-12,1275157.0,16141.227848101265,18880.8342567131,1100.0,139881.0,57124.29113924051,23297.67918184781,678391.0,114780.0,481986.0,2506.0,107946.0,674785.0,1100.0,488820.0,0.0,1164465.0,0.0,0.0,107946.0,240.0,2506.0,51313,34,12,3,1,4,59.2,8930,3.5,4.2,108,1328.0,1452,OWNER,F,1953-07-20,No Card,
92,5316,1801,1993-07-11,165960,36,4610.0,0,46,POPLATEK MESICNE,1993-02-13,13152.0,0.0,3419.0,956.0,4167.0,4610.0,1993-02-13,1993-07-09,407580.0,11015.675675675675,14040.378174421825,700.0,120513.0,52083.91891891892,29122.031884409724,229894.0,13682.0,164004.0,843.0,21459.0,0.0,229051.0,156227.0,0.0,395490.0,2868.0,0.0,8334.0,45.0,843.0,112709,48,20,7,3,10,73.5,8369,1.7,2.31,117,2854.0,2618,OWNER,M,1968-07-22,No Card,
93,5318,1808,1998-09-30,385584,48,8033.0,1,28,POPLATEK MESICNE,1997-05-16,8033.2,0.0,0.0,0.0,0.0,8033.2,1997-05-16,1998-09-22,944474.0,12108.641025641025,13661.058166668501,400.0,118268.0,69656.48717948717,23107.04673523877,481290.0,33964.0,429220.0,3192.0,0.0,0.0,478098.0,463184.0,0.0,941162.0,0.0,0.0,0.0,120.0,3192.0,72541,66,26,10,0,8,36.9,8594,1.6,2.01,112,1580.0,1525,OWNER,M,1974-10-22,No Card,
94,5319,1811,1994-06-23,239460,60,3991.0,1,40,POPLATEK MESICNE,1993-09-22,14941.8,0.0,6745.0,0.0,4206.0,3990.8,1993-09-22,1994-06-19,445728.0,9689.739130434782,10538.450253839841,300.0,74409.0,40061.5,16062.543253378857,240984.0,9680.0,195064.0,1233.0,43804.0,239451.0,300.0,160940.0,0.0,427611.0,0.0,0.0,16824.0,60.0,1233.0,128118,9,16,6,3,8,85.3,9317,6.4,7.07,97,6949.0,6872,OWNER,F,1942-09-13,No Card,
95,5320,1819,1998-01-11,143676,36,3991.0,1,55,POPLATEK TYDNE,1996-10-21,14445.8,0.0,1236.0,8253.0,966.0,3990.8,1996-10-21,1998-01-10,426087.0,5917.875,9210.70647829065,700.0,82796.0,28370.555555555555,16621.31370199025,221282.0,10574.0,194231.0,2211.0,74421.0,0.0,219071.0,130384.0,0.0,359133.0,57771.0,0.0,6762.0,210.0,2211.0,157042,49,70,18,0,9,33.9,8743,1.8,2.43,111,3659.0,3894,OWNER,M,1952-12-12,No Card,
96,5325,1843,1993-08-03,105804,36,2939.0,0,12,POPLATEK MESICNE,1993-01-30,9932.7,0.0,0.0,0.0,6994.0,2938.7,1993-01-30,1993-07-31,206328.0,8253.12,7773.2947450443,1000.0,65899.0,41297.64,14151.357776081657,120310.0,0.0,86018.0,802.0,13988.0,114608.0,4900.0,72030.0,0.0,191508.0,0.0,0.0,13988.0,30.0,802.0,107870,84,29,6,1,6,58.0,8754,3.8,4.31,137,3804.0,3868,OWNER,F,1940-04-20,classic,1998-09-11
97,5329,1862,1996-10-16,396120,60,6602.0,1,19,POPLATEK TYDNE,1995-04-15,6601.7,0.0,0.0,0.0,0.0,6601.7,1995-04-15,1996-10-08,1464721.0,15418.115789473684,17115.74724710773,500.0,104859.0,58855.27368421053,20275.107885140525,776666.0,79165.0,608890.0,3771.0,0.0,772395.0,500.0,688055.0,0.0,1460560.0,0.0,0.0,0.0,390.0,3771.0,51428,50,11,3,1,4,52.7,8402,3.1,3.98,120,999.0,1099,OWNER,F,1950-01-02,classic,1997-06-11
99,5334,1876,1998-09-10,209040,24,8710.0,1,1,POPLATEK MESICNE,1997-09-20,11762.0,0.0,723.0,0.0,2329.0,8710.0,1997-09-20,1998-09-08,454361.0,6884.257575757576,8819.024211347098,900.0,74277.0,44982.42424242424,14572.448284939957,255932.0,0.0,198429.0,1910.0,21364.0,0.0,254022.0,177065.0,0.0,436043.0,0.0,0.0,16303.0,105.0,1910.0,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,OWNER,M,1979-03-25,junior,1998-09-29
100,5337,1886,1996-07-31,162468,36,4513.0,1,32,POPLATEK MESICNE,1996-03-05,8710.7,0.0,0.0,0.0,4198.0,4512.7,1996-03-05,1996-07-16,226239.0,15082.6,14926.380179304788,700.0,83863.0,51279.666666666664,24180.9238529249,150439.0,0.0,75800.0,821.0,0.0,148918.0,700.0,75800.0,0.0,225418.0,0.0,0.0,0.0,0.0,821.0,105058,32,19,7,2,10,81.0,9272,2.8,3.22,118,4340.0,4505,OWNER,F,1957-08-23,No Card,
104,5350,1967,1996-04-21,249312,48,5194.0,1,26,POPLATEK TYDNE,1995-02-13,19358.0,0.0,0.0,0.0,14164.0,5194.0,1995-02-13,1996-04-18,599756.0,9995.933333333332,12147.334776195632,900.0,88597.0,35914.833333333336,23021.08856867993,327592.0,0.0,272164.0,2126.0,84984.0,0.0,325466.0,187180.0,0.0,512466.0,0.0,0.0,84984.0,180.0,2126.0,170449,0,0,0,1,1,100.0,10787,2.6,3.09,131,6041.0,6261,OWNER,M,1955-05-21,No Card,
105,5351,1978,1994-12-04,205200,36,5700.0,0,57,POPLATEK TYDNE,1993-06-11,18957.3,0.0,5900.0,356.0,7001.0,5700.3,1993-06-11,1994-12-03,1192501.0,9244.193798449613,12021.95135281025,900.0,93929.0,58336.28682170543,17204.136508951935,623543.0,35427.0,533531.0,4107.0,172341.0,615636.0,3800.0,396617.0,0.0,1092363.0,4628.0,0.0,91013.0,390.0,4107.0,161954,21,37,20,3,8,48.0,8720,3.7,4.5,116,3729.0,3651,OWNER,F,1963-01-25,No Card,
107,5354,2000,1998-07-14,290820,60,4847.0,1,5,POPLATEK MESICNE,1997-08-06,8227.0,0.0,48.0,14.0,3318.0,4847.0,1997-08-06,1998-07-10,457770.0,5449.642857142857,7568.634303512744,900.0,62178.0,44617.166666666664,10915.90850777895,255579.0,0.0,202191.0,2029.0,27026.0,0.0,253550.0,175165.0,0.0,428994.0,98.0,0.0,26544.0,105.0,2029.0,95616,65,30,4,1,6,51.4,9307,3.8,4.43,118,2616.0,3040,OWNER,M,1937-10-28,classic,1998-12-11
109,5360,2035,1998-01-25,176328,36,4898.0,1,53,POPLATEK MESICNE,1996-05-10,14433.2,0.0,1010.0,121.0,8404.0,4898.2,1996-05-10,1998-01-15,1273013.0,7444.520467836257,10812.866535284375,400.0,87432.0,47165.01754385965,16696.563446154272,654716.0,28512.0,589785.0,3456.0,152560.0,646560.0,4700.0,465737.0,0.0,1132932.0,1936.0,0.0,134464.0,225.0,3456.0,107911,88,33,6,2,7,50.9,8240,2.5,3.56,99,1850.0,1903,OWNER,M,1943-06-14,No Card,
110,5363,2051,1997-04-22,293880,60,4898.0,1,64,POPLATEK TYDNE,1995-11-08,4898.2,0.0,0.0,0.0,0.0,4898.2,1995-11-08,1997-04-01,1015989.0,11288.766666666666,13089.794982171454,-2805.0,132818.0,53227.2,34779.029796703646,507893.0,80947.0,427149.0,3074.0,0.0,0.0,504819.0,508096.0,0.0,1012566.0,0.0,19.0,0.0,330.0,3074.0,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484.0,4265,OWNER,F,1975-01-28,gold,1998-09-19
111,5365,2055,1998-07-19,271260,60,4521.0,1,37,POPLATEK MESICNE,1997-04-17,11365.0,0.0,0.0,0.0,6844.0,4521.0,1997-04-17,1998-07-08,346920.0,4752.328767123287,4600.663789832683,700.0,36763.0,14873.410958904109,7753.000123313585,179250.0,0.0,167670.0,946.0,68440.0,0.0,178304.0,99230.0,0.0,277384.0,0.0,0.0,68440.0,150.0,946.0,114006,71,26,6,2,9,62.3,9065,4.4,5.39,123,4147.0,4166,OWNER,M,1971-01-06,No Card,
115,5369,2080,1997-09-12,214596,36,5961.0,1,74,POPLATEK MESICNE,1997-04-27,19589.0,0.0,0.0,0.0,13628.0,5961.0,1997-04-27,1997-09-07,458515.0,26971.470588235294,24715.27025473737,400.0,112409.0,62852.76470588235,30947.25876699221,272515.0,0.0,186000.0,893.0,0.0,271222.0,400.0,186000.0,0.0,457622.0,0.0,0.0,0.0,0.0,893.0,323870,0,0,0,1,1,100.0,10673,4.7,5.44,100,18782.0,18347,OWNER,M,1937-09-08,classic,1998-02-14
116,5375,2106,1996-10-03,101520,12,8460.0,0,1,POPLATEK MESICNE,1996-02-01,11928.0,0.0,0.0,0.0,3468.0,8460.0,1996-02-01,1996-09-30,204064.0,5370.105263157895,5266.30499619463,400.0,43219.0,26449.28947368421,10352.46964113863,110392.0,0.0,93672.0,885.0,13872.0,0.0,109507.0,79800.0,0.0,189247.0,0.0,0.0,13872.0,60.0,885.0,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,OWNER,F,1976-10-12,No Card,
123,5390,2167,1994-10-30,170256,24,7094.0,0,16,POPLATEK MESICNE,1993-08-08,13016.0,0.0,0.0,0.0,5922.0,7094.0,1993-08-08,1994-10-27,699891.0,9089.493506493507,10042.252365332999,200.0,79870.0,40091.2987012987,13589.403876264592,371596.0,0.0,328295.0,2176.0,59220.0,0.0,369420.0,269075.0,0.0,638360.0,0.0,0.0,59220.0,135.0,2176.0,93931,74,21,10,1,8,56.9,8427,1.1,1.54,107,1874.0,1913,OWNER,F,1965-07-16,classic,1995-04-14
124,5395,2176,1994-07-30,299088,36,8308.0,1,67,POPLATEK MESICNE,1993-06-06,14527.8,0.0,5135.0,0.0,1085.0,8307.8,1993-06-06,1994-07-23,1606074.0,12746.619047619048,14604.901272576759,500.0,193910.0,51992.944444444445,33855.69214044943,812759.0,88210.0,705105.0,2462.0,74640.0,0.0,810297.0,718675.0,0.0,1590427.0,0.0,0.0,13020.0,165.0,2462.0,106054,38,25,6,2,6,63.1,8110,5.7,6.55,109,3244.0,3079,OWNER,F,1966-12-10,No Card,
126,5409,2218,1995-11-18,182040,60,3034.0,1,19,POPLATEK MESICNE,1994-11-21,3034.0,0.0,0.0,0.0,0.0,3034.0,1994-11-21,1995-11-17,1034851.0,17539.84745762712,19380.030355491654,600.0,110448.0,67475.96610169491,21927.679549205033,536798.0,24448.0,473605.0,2704.0,0.0,533494.0,600.0,498053.0,0.0,1032042.0,0.0,0.0,0.0,105.0,2704.0,51428,50,11,3,1,4,52.7,8402,3.1,3.98,120,999.0,1099,OWNER,F,1951-03-24,classic,1997-05-09
128,5414,2228,1995-03-29,185952,48,3874.0,1,34,POPLATEK MESICNE,1994-03-19,8498.7,0.0,0.0,0.0,4625.0,3873.7,1994-03-19,1995-03-25,417637.0,12283.441176470587,15880.101975077463,700.0,145318.0,50113.17647058824,31588.317350862864,250012.0,0.0,167625.0,2136.0,4625.0,0.0,247876.0,163000.0,0.0,410876.0,0.0,0.0,4625.0,0.0,2136.0,125236,28,11,1,4,5,87.7,9675,6.4,7.68,100,5323.0,5190,OWNER,M,1945-02-22,No Card,
129,5415,2236,1996-09-26,139464,36,3874.0,1,73,POPLATEK MESICNE,1995-08-27,3873.7,0.0,0.0,0.0,0.0,3873.7,1995-08-27,1996-09-20,252062.0,8131.032258064516,11582.15497934609,300.0,65063.0,31532.645161290322,12989.796592065091,146862.0,0.0,105200.0,1548.0,0.0,0.0,145314.0,105200.0,0.0,250514.0,0.0,0.0,0.0,0.0,1548.0,182027,17,49,12,2,7,56.4,8746,3.3,3.74,90,4355.0,4433,OWNER,M,1958-08-12,No Card,
130,5418,2245,1995-01-16,347952,48,7249.0,1,29,POPLATEK MESICNE,1993-03-30,7248.8,0.0,0.0,0.0,0.0,7248.8,1993-03-30,1995-01-13,1612978.0,13441.483333333334,14008.265002114567,300.0,123013.0,54157.125,23422.01953723741,835260.0,112208.0,665510.0,4171.0,0.0,0.0,831089.0,777718.0,0.0,1608597.0,0.0,0.0,0.0,210.0,4171.0,45714,52,10,5,1,6,55.6,8843,2.8,3.6,113,818.0,888,OWNER,F,1964-10-30,No Card,
131,5419,2246,1997-02-05,415800,60,6930.0,1,1,POPLATEK MESICNE,1996-04-25,6930.0,0.0,0.0,0.0,0.0,6930.0,1996-04-25,1997-01-31,460630.0,12449.45945945946,14755.459109530719,700.0,140706.0,44265.37837837838,33832.01203606443,237055.0,0.0,223575.0,1426.0,0.0,0.0,235629.0,223575.0,0.0,459129.0,0.0,0.0,0.0,75.0,1426.0,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,OWNER,F,1949-09-05,No Card,
133,5428,2262,1998-12-02,230220,36,6395.0,1,13,POPLATEK MESICNE,1997-02-08,6395.0,0.0,0.0,0.0,0.0,6395.0,1997-02-08,1998-11-30,2389992.0,15620.862745098038,16689.758399144863,200.0,141146.0,64923.21568627451,28758.37724242533,1218720.0,86172.0,1085100.0,5192.0,0.0,0.0,1213528.0,1163472.0,7800.0,2384500.0,0.0,0.0,0.0,300.0,5192.0,53921,61,22,1,1,2,41.3,8598,2.7,3.26,123,1597.0,1875,OWNER,M,1950-01-26,classic,1997-12-30
135,5435,2279,1998-06-01,314688,48,6556.0,1,2,POPLATEK TYDNE,1996-10-30,6556.3,0.0,0.0,0.0,0.0,6556.3,1996-10-30,1998-05-31,1588710.0,14847.757009345794,16473.153536886388,600.0,99692.0,53094.43925233645,21446.083285887835,815927.0,212833.0,559950.0,4198.0,0.0,806429.0,5300.0,769783.0,3000.0,1584062.0,0.0,0.0,0.0,450.0,4198.0,88884,80,26,6,2,5,46.7,8507,1.6,1.85,132,2159.0,2674,OWNER,M,1974-01-26,classic,1997-10-09
138,5447,2335,1997-11-12,541200,60,9020.0,1,70,POPLATEK MESICNE,1996-04-04,14286.0,0.0,2745.0,485.0,2036.0,9020.0,1996-04-04,1997-11-10,618737.0,3555.9597701149423,5267.72253863441,-17030.0,51161.0,12006.442528735632,14745.181620931298,312547.0,0.0,306190.0,2619.0,78990.0,0.0,309928.0,227200.0,0.0,577723.0,7275.0,355.0,30540.0,225.0,2619.0,285387,0,2,8,5,7,89.9,10177,6.6,7.75,81,9878.0,10108,OWNER,F,1946-12-18,No Card,
140,5450,2345,1994-12-11,199680,60,3328.0,1,5,POPLATEK MESICNE,1993-10-25,6940.2,0.0,0.0,0.0,3612.0,3328.2,1993-10-25,1994-11-30,544164.0,7353.5675675675675,8335.592276794801,500.0,62239.0,33658.74324324324,11909.096065510452,282042.0,38279.0,223843.0,1675.0,32508.0,279567.0,800.0,229614.0,0.0,509846.0,0.0,0.0,32508.0,135.0,1675.0,95616,65,30,4,1,6,51.4,9307,3.8,4.43,118,2616.0,3040,OWNER,M,1949-05-23,No Card,
141,5451,2350,1997-05-11,159744,48,3328.0,1,18,POPLATEK MESICNE,1996-08-04,9166.2,0.0,5263.0,0.0,575.0,3328.2,1996-08-04,1997-05-07,394284.0,14081.57142857143,15669.829880256853,600.0,105954.0,56388.78571428572,27438.9980466531,223941.0,0.0,170343.0,1271.0,6413.0,0.0,222670.0,163930.0,0.0,391833.0,0.0,0.0,1150.0,30.0,1271.0,70699,60,13,2,1,4,65.3,8968,2.8,3.35,131,1740.0,1910,OWNER,F,1973-04-10,classic,1998-06-04
143,5453,2361,1995-04-01,156672,36,4352.0,0,28,POPLATEK MESICNE,1994-02-25,8965.0,0.0,0.0,0.0,4613.0,4352.0,1994-02-25,1995-03-31,248506.0,3313.4133333333334,2959.2252460021655,500.0,41877.0,22927.506666666668,6686.140607727772,135887.0,0.0,112619.0,1207.0,36904.0,0.0,134680.0,75715.0,0.0,210260.0,0.0,0.0,36904.0,135.0,1207.0,72541,66,26,10,0,8,36.9,8594,1.6,2.01,112,1580.0,1525,OWNER,F,1956-04-25,No Card,
146,5469,2445,1997-12-26,293160,60,4886.0,1,52,POPLATEK MESICNE,1996-07-07,4886.0,0.0,0.0,0.0,0.0,4886.0,1996-07-07,1997-12-06,1176357.0,12127.39175257732,15311.877270709316,800.0,131276.0,49740.71134020619,29394.380054541165,595596.0,88551.0,492210.0,3361.0,0.0,0.0,592235.0,580761.0,0.0,1172786.0,0.0,0.0,0.0,210.0,3361.0,139012,59,41,8,3,10,61.9,8363,2.5,3.49,108,2564.0,2799,OWNER,F,1978-01-17,No Card,
147,5470,2456,1996-04-15,200976,48,4187.0,1,65,POPLATEK MESICNE,1995-09-09,13741.3,0.0,0.0,0.0,9554.0,4187.3,1995-09-09,1996-04-14,386153.0,11032.942857142858,10897.859800526558,600.0,83554.0,47938.114285714284,18917.05230080153,216792.0,8554.0,160807.0,1538.0,28662.0,213554.0,1700.0,140699.0,0.0,355908.0,0.0,0.0,28662.0,45.0,1538.0,114200,101,41,4,1,4,43.7,8403,5.7,5.72,105,2157.0,2718,OWNER,M,1955-02-20,No Card,
149,5482,2496,1996-01-12,165120,60,2752.0,1,51,POPLATEK MESICNE,1994-05-21,7734.0,0.0,0.0,0.0,4982.0,2752.0,1994-05-21,1996-01-11,373210.0,3217.3275862068967,3041.2204180040217,1100.0,37946.0,24377.387931034482,6878.76569536128,197975.0,0.0,175235.0,1840.0,74730.0,0.0,196135.0,100505.0,0.0,296415.0,0.0,0.0,74730.0,225.0,1840.0,121947,37,28,7,3,11,70.5,8541,2.5,2.97,131,3496.0,3839,OWNER,F,1950-03-18,No Card,
150,5486,2516,1997-06-13,466608,48,9721.0,1,6,POPLATEK MESICNE,1995-11-16,9721.0,0.0,0.0,0.0,0.0,9721.0,1995-11-16,1997-06-11,667472.0,6543.843137254902,6727.323987631069,300.0,66126.0,36161.009803921566,12819.276844724322,364122.0,0.0,303350.0,2574.0,0.0,0.0,361548.0,303350.0,0.0,664688.0,0.0,0.0,0.0,210.0,2574.0,77963,60,23,4,2,4,51.5,8546,2.9,4.02,126,2640.0,3120,OWNER,F,1946-03-05,No Card,
151,5491,2545,1998-02-13,428784,48,8933.0,1,1,POPLATEK MESICNE,1996-12-04,12954.0,0.0,671.0,713.0,2637.0,8933.0,1996-12-04,1998-02-12,418986.0,3808.9636363636364,4088.359700972643,1100.0,47281.0,22133.890909090907,11407.210555106823,213845.0,0.0,205141.0,1335.0,44231.0,0.0,212510.0,160910.0,0.0,380651.0,7843.0,0.0,29007.0,150.0,1335.0,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,OWNER,M,1936-04-14,No Card,
152,5494,2572,1996-06-13,360000,48,7500.0,1,64,POPLATEK PO OBRATU,1994-11-13,7500.0,0.0,0.0,0.0,0.0,7500.0,1994-11-13,1996-06-09,2026051.0,14897.433823529413,19720.162935508302,600.0,126072.0,51149.669117647056,26193.19512196084,1045410.0,104033.0,876608.0,7313.0,0.0,1025197.0,12900.0,980641.0,0.0,2017330.0,0.0,8.0,0.0,1400.0,7313.0,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484.0,4265,OWNER,F,1973-03-07,No Card,
154,5501,2622,1998-05-21,136344,24,5681.0,1,1,POPLATEK MESICNE,1996-08-21,12748.0,0.0,0.0,0.0,7067.0,5681.0,1996-08-21,1998-05-13,648442.0,4988.015384615384,4234.266918942022,300.0,57858.0,31673.953846153847,10787.863626583361,344143.0,0.0,304299.0,2519.0,120139.0,0.0,341624.0,184160.0,0.0,525544.0,0.0,0.0,120139.0,240.0,2519.0,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,OWNER,F,1964-05-26,No Card,
156,5520,2699,1998-08-30,231168,48,4816.0,1,73,POPLATEK MESICNE,1996-12-25,9221.0,0.0,662.0,0.0,3743.0,4816.0,1996-12-25,1998-08-17,1894381.0,13155.423611111111,17352.751398928212,300.0,122437.0,54599.006944444445,22041.399689191538,969890.0,77991.0,846500.0,4263.0,66075.0,965327.0,300.0,850816.0,7600.0,1833748.0,0.0,0.0,56145.0,225.0,4263.0,182027,17,49,12,2,7,56.4,8746,3.3,3.74,90,4355.0,4433,OWNER,F,1978-05-11,junior,1997-08-06
160,5527,2728,1998-06-15,156420,60,2607.0,1,52,POPLATEK TYDNE,1997-07-06,13829.0,0.0,0.0,0.0,11222.0,2607.0,1997-07-06,1998-06-10,667833.0,10600.52380952381,12794.127580408867,400.0,94695.0,49909.23809523809,17920.59730941654,344937.0,9732.0,313164.0,2487.0,78554.0,0.0,342450.0,244342.0,0.0,586582.0,0.0,0.0,78554.0,210.0,2487.0,139012,59,41,8,3,10,61.9,8363,2.5,3.49,108,2564.0,2799,OWNER,M,1957-03-08,No Card,
162,5532,2754,1997-05-04,335280,48,6985.0,1,57,POPLATEK TYDNE,1996-01-26,10093.3,0.0,226.0,0.0,2882.0,6985.3,1996-01-26,1997-04-30,1317741.0,13584.958762886597,17159.7303955593,500.0,123335.0,43629.51546391752,22466.499720933298,673796.0,32535.0,611410.0,2704.0,31080.0,670592.0,500.0,612865.0,0.0,1285887.0,0.0,0.0,28820.0,330.0,2704.0,161954,21,37,20,3,8,48.0,8720,3.7,4.5,116,3729.0,3651,OWNER,F,1952-12-26,No Card,
163,5533,2762,1994-07-05,111384,24,4641.0,0,19,POPLATEK MESICNE,1993-03-20,12266.0,0.0,733.0,0.0,6892.0,4641.0,1993-03-20,1994-07-02,2055812.0,13525.078947368422,15792.257884160157,500.0,141386.0,65097.29605263158,26285.873449525832,1054064.0,58788.0,942960.0,3891.0,106750.0,0.0,1050173.0,894998.0,0.0,1955223.0,0.0,0.0,96488.0,210.0,3891.0,51428,50,11,3,1,4,52.7,8402,3.1,3.98,120,999.0,1099,OWNER,M,1967-02-10,No Card,
165,5556,2872,1997-05-19,268320,60,4472.0,1,1,POPLATEK MESICNE,1996-09-04,12571.0,0.0,4059.0,0.0,4040.0,4472.0,1996-09-04,1997-05-09,241602.0,4646.192307692308,4616.856710345387,200.0,49190.0,24411.403846153848,10874.534947477363,127127.0,0.0,114475.0,911.0,40495.0,0.0,126216.0,73980.0,0.0,220431.0,0.0,0.0,20200.0,60.0,911.0,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,OWNER,F,1952-09-29,No Card,
